Profile,Cross Section,Node Number,W.S. Elev,E.G. Elev,Max Chl Dpth,Min Ch El,Q Left,Q Channel,Q Right,Q Total,Flow Area,Flow Area L,Flow Area Ch,Flow Area R,W.P. Total,W.P. Left,W.P. Channel,W.P. Right,Conv. Total,Conv. Left,Conv. Chnl,Conv. Right,Vel Head,Vel Total,Vel Left,Vel Chnl,Vel Right,Alpha,Beta,Top Wdth Act,E.G. Slope,Volume,Area,Area Left,Area Channel,Area Right,Sta W.S. Lft,Sta W.S. Rgt,Left Sta Eff,Rght Sta Eff,Length Wtd.,Length Left,Length Chnl,Length Rght,Mann Wtd Left,Mann Wtd Chnl,Mann Wtd Rght,Mann Comp,Froude # Chl,Froude # XS,Trvl Tme Avg,Trvl Tme Chl,Conv. Ratio,Specif Force,Spc Force PR,W.S. Prime,Crit W.S.,Crit E.G.,Crit Depth,Frctn Loss,C & E Loss,Headloss,Top Width,Top W Left,Top W Chnl,Top W Right,Num Trials,Std Stp Case,Frctn Slope,Frctn Slp Md,Min Error,Delta WS,Delta EG,Q Culv Group,Q Barrel,W.S. US.,Clv EG No Wr,E.G. US.,E.G. IC,E.G. OC,Culv Nml Depth,Culv Vel DS,Culv Vel US,Culv Frctn Ls,Culv Entr Loss,Culv Exit Loss,Culv Full Len,Culv Crt Depth,Culv Inv El Up,Culv Inv El Dn,Culv EG Inlet,Culv EG Outlet,Culv WS Inlet,Culv WS Outlet,Q Weir,Weir Flow Area,Weir Sta Lft,Weir Sta Rgt,Weir Max Depth,Weir Avg Depth,Weir Submerg,Min El Weir Flow,Wr Top Wdth,Energy/Wr WS,Yarnell WS,WSPRO WS,Prs/Wr WS ,Energy WS,Momen. WS,Prs O WS,Energy/Wr EG,Yarnell EG,WSPRO EG,Prs/Wr EG,Energy EG,Momen. EG,Prs O EG,BR Sel Method,Min El Prs,Crit Num,Crit W.S. 1,Crit W.S. 2,Crit W.S. 3,Crit Enrgy 1,Crit Enrgy 2,Crit Enrgy 3,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Deck Width,# Barrels,Q Bridge,Vol Left,Vol Chan,Vol Right,Min El,Enc Val 1,Enc Val 2,Enc Sta L,Enc Sta R,Dist Center L,Dist Center R,K Perc L,K Perc R,Q Perc L,Q Perc Chan,Q Perc R,Prof Delta WS,Prof Delta EG,Shear Total,Shear LOB,Shear Chan,Shear ROB,Power Total,Power LOB,Power Chan,Power ROB,Ch Sta L,Ch Sta R,Base WS,Center Station,XS Delta WS,XS Delta EG,SA Total,SA Left,SA Chan,SA Right,Enc Method,Q Gate Group,Gate Open Ht,Gate #Open,Gate Area,Gate Submerg,Gate Invert,Q Gates,BR Open Area,Coef of Q,Cum Ch Len,Enc WD,Obs WS,WS Air Entr.,BR Open Vel,Ice Thick LOB,Ice Thick Chan,Ice Thick ROB,Ice Vol Total,Ice Vol. LOB,Ice Vol. Chan,Ice Vol. ROB,Ice Top LOB,Ice Top Chan,Ice Top ROB,Ice Btm LOB,Ice Btm Chan,Ice Btm ROB,Invert Slope,LOB Elev,ROB Elev,L. Freeboard,R. Freeboard,Levee El Left,Levee El Right,Ineff El Left,Ineff El Right,L. Levee Frbrd,R. Levee Frbrd,Mann Wtd Total,Hydr Radius,Hydr Radius L,Hydr Radius C,Hydr Radius R,Hydr Rad 2/3,W.S. DS,E.G. DS,Min Weir El,Perc Q Leaving,Q US,Q DS,Weir Sta US,Weir Sta DS,Q Leaving Total,SA Min El,SA Area,SA Volume,Top W Act Left,Top W Act Chan,Top W Act Right,Culv Depth Blocked,Culv Inlet Mann n,Culv Outlet Mann n,Ice WS Err,Ice Err,Piping Flow,Breach CL,Breach WD,Breach Bottom El,Breach Top El,Breach SSL,Breach SSR,Q Pump Group,Q Lat RC,Q Culv,Culv Length,Q Pump Station,WS Inlet,WS Outlet,Pumping Head,Inflow,Outflow,Net Flux,Enc Offset L,Enc Offset R,Min Ch Pilot,Diff,Min Ch El Sta,Culv Area DS,Culv Area US,Gate Weir Coef,Weir Coef,Q Breach,Breach Avg Velocity,Breach Flow Area,Left Station,Right Station,Levee Sta Left,Levee Sta Right,Q Inline RC,Q Outlet TS,BR Sluice Coef,Q Opening L,Q Opening Ch,Q Opening R,Velocity_SI,Depth_SI,Velocity_SI_Area,Depth_SI_Area,HSI,WUA_Area
1,1,58136,14.1717720031738,14.1730213165283,3.17184472084045,10.9999275207519,23.2941532135009,10.3009595870971,43.6048774719238,77.1999893188476,529.657775878906,214.809677124023,50.271385192871,264.576721191406,355.66030883789,217.741592407226,16.6245212554931,121.294197082519,26261.57421875,7924.1083984375,3504.1376953125,14833.3271484375,0.00124878517817705,0.145754471421241,0.108440890908241,0.204907029867172,0.164809957146644,1.15290606021881,1.05074989795684,355.215911865234,8.6415766418213e-06,31115.30859375,529.657775878906,214.809677124023,50.271385192871,264.576721191406,774.147216796875,1268.78491210937,774.147216796875,1268.78491210937,236.405929565429,220.816940307617,253.183044433593,238.382873535156,0.0299999881535768,0.0299999993294477,0.0299999825656414,,0.0376002974808216,0.0409267619252204,190.613510131835,194.382537841796,1.69253635406494,603.882446289062,,,,,,0.00322897150181233,0.000189994956599548,0.0034189666621387,355.215911865234,217.430969238281,16.6000652313232,121.184867858886,2,1,1.3658589523402e-05,,1.16271974093251e-06,0.00531711755320429,0.00341723323799669,,,14.1717720031738,,14.1730213165283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.49108695983886,0.987944304943084,3.02838468551635,2.18324899673461,,,,13793.646484375,6028.8388671875,11292.8232421875,10.9999275207519,,,,,,,,,30.1737747192382,13.3432130813598,56.4830055236816,,,0.12620198726654,0.0836023837327957,0.256258308887481,0.184849306941032,0.0183945037424564,0.00906591769307851,0.0525091253221035,0.0304650068283081,1131.0,1147.60009765625,14.1717720031738,1139.30004882812,0.00531711755320429,0.00341723323799669,16259.12890625,7869.54931640625,2150.41162109375,6239.16748046875,0,,,,,,,,,,58072.93359375,,,14.1717720031738,,,,,,,,,,,,,,,-0.000659722310956567,11.6269006729125,10.9999275207519,-2.54487133026123,-3.17184472084045,,,,,,,0.0263015534728765,1.48922383785247,0.98653495311737,3.02393007278442,2.18128108978271,1.30408728122711,,,,,,,,,,,,,217.430969238281,16.6000652313232,121.184867858886,,,,,,,,,,,,,,,,,,,,,,,,,,10.9999275207519,,1147.60009765625,,,,,,,,0,2286.39990234375,0,0,,,,,,,0.728772357106205,0.0,385.9999457869004,0.0,0.0,0.0
1,2,57882.8*,14.1664552688598,14.1696043014526,2.99949717521667,11.1669578552246,17.4136238098144,17.3901653289794,42.3961944580078,77.1999893188476,349.033630371093,120.275802612304,51.6130943298339,177.144760131835,292.943206787109,172.930587768554,17.8243865966796,102.188240051269,15516.1064453125,3499.89208984375,3495.17749023437,8521.03515625,0.0031487348023802,0.221182107925415,0.144780784845352,0.336933225393295,0.239330798387527,1.26236844062805,1.08503186702728,292.67349243164,2.47553452936699e-05,31012.765625,349.033630371093,120.275802612304,51.6130943298339,177.144760131835,854.88818359375,1311.31262207031,854.88818359375,1311.31262207031,238.820556640625,220.816940307617,253.183044433593,238.382873535156,0.0299999881535768,0.0299999993294477,0.0299999881535768,,0.0631844475865364,0.0726676508784294,190.255584716796,194.122940063476,1.55106163024902,340.840118408203,,,,,,0.00874212384223938,0.000429926032666116,0.00917204935103654,292.67349243164,172.761032104492,17.7996959686279,102.112762451171,2,1,3.66054082405753e-05,,6.97631821822142e-06,0.0134642943739891,0.00916455686092376,,,14.1664552688598,,14.1696043014526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.19257009029388,0.696197569370269,2.89966177940368,1.73479545116424,,,,13756.650390625,6015.94091796875,11240.173828125,11.1669578552246,,,,,,,,,22.5565109252929,22.5261249542236,54.9173583984375,,,0.289245128631591,0.168845191597938,0.702954947948455,0.420832782983779,0.0639758482575416,0.024445541203022,0.236848875880241,0.10071824491024,1191.40014648437,1209.19982910156,14.1664552688598,1200.29992675781,0.0134642943739891,0.00916455686092376,16185.078125,7826.46923828125,2146.05712890625,6212.5517578125,0,,,,,,,,,,57819.75,,,14.1664552688598,,,,,,,,,,,,,,,-0.000656108080875128,11.6890792846679,11.2971067428588,-2.47737550735473,-2.86934804916381,,,,,,,0.025281760841608,1.19147205352783,0.695514976978302,2.89564490318298,1.73351407051086,1.12388682365417,,,,,,,,,,,,,172.761032104492,17.7996959686279,102.112762451171,,,,,,,,,,,,,,,,,,,,,,,,,,11.1669578552246,,1205.78295898437,,,,,,,,0,2331.19995117187,0,0,,,,,,,0.83054313659668,0.0,289.8874861461338,0.0,0.0,0.0
1,3,57629.6*,14.1529912948608,14.1604394912719,2.81991744041442,11.3330736160278,15.4235467910766,26.1496715545654,35.6267662048339,77.1999893188476,226.25862121582,65.1850662231445,51.9999351501464,109.073616027832,215.171264648437,119.912399291992,19.0248718261718,76.2339935302734,10003.5390625,1998.576171875,3388.46264648437,4616.50048828125,0.0074479947797954,0.341202437877655,0.236611664295196,0.502878963947296,0.326630502939224,1.25477290153503,1.07955241203308,214.991226196289,5.95562196394894e-05,30945.05859375,226.25862121582,65.1850662231445,51.9999351501464,109.073616027832,944.479125976562,1346.9765625,944.479125976562,1346.9765625,239.18504333496,220.816940307617,253.183044433593,238.382873535156,0.0299999881535768,0.0299999993294477,0.0299999881535768,,0.0970686003565788,0.11897137761116,190.019668579101,193.955459594726,1.28581857681274,210.517807006835,,,,,,0.0180300548672676,0.000397820287616923,0.01842787489295,214.991226196289,119.814903259277,18.9999942779541,76.1763381958007,2,1,7.53811909817159e-05,,8.13903807284077e-06,0.0223974697291851,0.0184198059141635,,,14.1529912948608,,14.1604394912719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.05240857601165,0.544048130512237,2.73683977127075,1.43185698986053,,,,13736.173828125,6002.82470703125,11206.05859375,11.3330736160278,,,,,,,,,19.9786911010742,33.8726387023925,46.1486701965332,,,0.614131212234497,0.317485839128494,1.59632527828216,0.835624873638153,0.209543079137802,0.0751208513975143,0.802758395671844,0.272940576076507,1251.80017089843,1270.80017089843,14.1529912948608,1261.30017089843,0.0223974697291851,0.0184198059141635,16126.8671875,7794.16650390625,2141.39868164062,6191.3017578125,0,,,,,,,,,,57566.56640625,,,14.1529912948608,,,,,,,,,,,,,,,-0.000659722310956567,11.7509546279907,11.5939817428588,-2.40203595161438,-2.55900883674621,,,,,,,0.0233883112668991,1.05152809619903,0.543605744838714,2.73326086997985,1.43077397346496,1.03406357765197,,,,,,,,,,,,,119.814903259277,18.9999942779541,76.1763381958007,,,,,,,,,,,,,,,,,,,,,,,,,,11.3330736160278,,1263.96716308593,,,,,,,,0,2375.99975585937,0,0,,,,,,,0.15879756212234503,0.0,35.92931745823531,0.0,0.0,0.0
1,4,57376.5*,14.1305932998657,14.1420192718505,2.63048958778381,11.5001039505004,26.2213554382324,31.6461677551269,19.3324642181396,77.1999893188476,184.99494934082,76.0831069946289,51.3848800659179,57.5269699096679,170.754531860351,94.3559341430664,20.2250843048095,56.1735115051269,7779.8994140625,2642.48095703125,3189.17138671875,1948.24682617187,0.0114261982962489,0.417308658361434,0.344640970230102,0.615865409374237,0.336059153079986,1.28687679767608,1.08714091777801,170.593490600585,9.84660582616925e-05,30896.513671875,184.99494934082,76.0831069946289,51.3848800659179,57.5269699096679,1190.20349121093,1388.521484375,1190.20349121093,1388.521484375,237.469512939453,220.816940307617,253.183044433593,238.382873535156,0.0299999862909317,0.0299999993294477,0.0299999881535768,,0.123305864632129,0.145166754722595,189.844482421875,193.829727172851,1.08247780799865,163.924560546875,,,,,,0.0252715311944484,6.94702339387731e-06,0.0252784788608551,170.593490600585,94.2720489501953,20.1999950408935,56.1214485168457,1,1,0.000106420113297645,,5.81359881834941e-06,0.025354266166687,0.0252845026552677,,,14.1305932998657,,14.1420192718505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.08441972732543,0.807059049606323,2.54380679130554,1.02504432201385,,,,13720.5771484375,5989.73681640625,11186.201171875,11.5001039505004,,,,,,,,,33.9654884338378,40.992446899414,25.0420532226562,,,1.04613423347473,0.778607904911041,2.45326685905456,0.988871097564697,0.436560869216918,0.268340170383453,1.51088225841522,0.332319200038909,1312.20007324218,1332.40002441406,14.1305932998657,1322.30004882812,0.025354266166687,0.0252845026552677,16082.498046875,7770.529296875,2136.43603515625,6175.53271484375,0,,,,,,,,,,57313.3828125,,,14.1305932998657,,,,,,,,,,,,,,,-0.000659722310956567,11.8131341934204,11.8908576965332,-2.31745982170105,-2.23973536491394,,,,,,,0.0250829067081213,1.08339703083038,0.806341588497161,2.54065108299255,1.02409422397613,1.05485260486602,,,,,,,,,,,,,94.2720489501953,20.1999950408935,56.1214485168457,,,,,,,,,,,,,,,,,,,,,,,,,,11.5001039505004,,1322.15026855468,,,,,,,,0,2420.7998046875,0,0,,,,,,,0.08269134163856601,0.0,15.297480557350958,0.0,0.0,0.0
1,5,57123.3*,14.1052389144897,14.116735458374,2.4381046295166,11.6671342849731,34.8861198425293,31.3520927429199,10.9617795944213,77.1999893188476,188.900238037109,108.153091430664,49.8617820739746,30.8853759765625,179.202911376953,126.482521057128,21.4255409240722,31.2948398590087,7187.12158203125,3247.80810546875,2918.7998046875,1020.513671875,0.0114956684410572,0.408681273460388,0.322562396526336,0.628780007362365,0.354918122291564,1.34994089603424,1.10481286048889,179.035995483398,0.000115378403279464,30852.81640625,188.900238037109,108.153091430664,49.8617820739746,30.8853759765625,1246.1953125,1425.23132324218,1246.1953125,1425.23132324218,234.134490966796,220.816940307617,253.183044433593,238.382873535156,0.0299999844282865,0.0299999993294477,0.0299999881535768,,0.13154162466526,0.147616878151893,189.684768676757,193.716720581054,0.840705156326294,154.797531127929,,,,,,0.022540770471096,0.0012000425485894,0.0237408131361007,179.035995483398,126.404716491699,21.4001445770263,31.2311363220214,2,1,9.62727499427273e-05,,1.04644777820794e-05,0.0197511203587055,0.023750877007842,,,14.1052389144897,,14.116735458374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.05509650707244,0.855609655380249,2.32997417449951,0.988929033279419,,,,13700.2353515625,5976.91943359375,11175.6640625,11.6671342849731,,,,,,,,,45.1892776489257,40.6115226745605,14.1991987228393,,,1.19268345832824,0.96748924255371,2.63313889503479,1.11665225028991,0.48742738366127,0.312075644731521,1.65566515922546,0.396320104598999,1372.59997558593,1394.00012207031,14.1052389144897,1383.30004882812,0.0197511203587055,0.023750877007842,16042.4560546875,7746.1650390625,2131.169921875,6165.12109375,0,,,,,,,,,,57060.19921875,,,14.1052389144897,,,,,,,,,,,,,,,-0.000654904870316386,11.8759231567382,12.1880378723144,-2.22931623458862,-1.91720163822174,,,,,,,0.0272230021655559,1.05411374568939,0.855083286762237,2.32721233367919,0.986916005611419,1.03575813770294,,,,,,,,,,,,,126.404716491699,21.4001445770263,31.2311363220214,,,,,,,,,,,,,,,,,,,,,,,,,,11.6671342849731,,1380.33276367187,,,,,,,,0,2465.60009765625,0,0,,,,,,,0.09131872653961198,0.0,17.250129180578366,0.0,0.0,0.0
1,6,56870.1*,14.0854883193969,14.0929841995239,2.25254273414611,11.8329448699951,48.7045402526855,23.5389976501464,4.95645761489868,77.1999893188476,214.298309326171,148.86473083496,47.6169967651367,17.8165779113769,174.050811767578,131.3720703125,22.6256370544433,20.0530948638916,8548.9208984375,5393.41015625,2606.6455078125,548.864807128906,0.00749552622437477,0.360245466232299,0.327173173427581,0.49434021115303,0.278193593025207,1.13280498981475,1.0409550666809,173.878280639648,8.15477542346343e-05,30806.296875,214.298309326171,148.86473083496,47.6169967651367,17.8165779113769,1301.70300292968,1475.58129882812,1301.70300292968,1475.58129882812,229.980697631835,220.816940307617,253.183044433593,238.382873535156,0.0299999844282865,0.0299999993294477,0.0299999881535768,,0.108752459287643,0.11028828471899,189.51560974121,193.591476440429,0.799260854721069,170.522186279296,,,,,,0.0148030798882246,0.000725473626516759,0.0155285531654953,173.878280639648,131.296768188476,22.599998474121,19.9815158843994,1,1,6.4366620790679e-05,,1.16271976366988e-05,0.0130980378016829,0.0155164953321218,,,14.0854883193969,,14.0929841995239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.23246157169342,1.13380348682403,2.106947183609,0.891653001308441,,,,13671.857421875,5964.5791015625,11169.859375,11.8329448699951,,,,,,,,,63.0887908935546,30.4909324645996,6.4202823638916,,,0.984618425369262,0.906179010868072,1.68300879001617,0.710506618022918,0.354704290628433,0.296477437019348,0.831978976726532,0.197658389806747,1432.99975585937,1455.59985351562,14.0854883193969,1444.29992675781,0.0130980378016829,0.0155164953321218,16002.3291015625,7717.71240234375,2125.599609375,6159.01708984375,0,,,,,,,,,,56807.015625,,,14.0854883193969,,,,,,,,,,,,,,,-0.000659722310956567,11.9381017684936,12.4849128723144,-2.14738631248474,-1.6005755662918,,,,,,,0.0287962649017572,1.23124003410339,1.1331535577774,2.1045594215393,0.888470292091369,1.14875781536102,,,,,,,,,,,,,131.296768188476,22.599998474121,19.9815158843994,,,,,,,,,,,,,,,,,,,,,,,,,,11.8329448699951,,1438.51696777343,,,,,,,,0,2510.39990234375,0,0,,,,,,,0.13975453376770097,0.0,29.94916030708559,0.0,0.0,0.0
1,7,56617,14.0723896026611,14.0774679183959,2.16232967376709,11.999976158142,58.7615623474121,16.3553943634033,2.08303070068359,77.1999893188476,248.791717529296,193.547042846679,44.6942176818847,10.5504570007324,174.55061340332,136.532775878906,23.8257942199707,14.1920509338378,10696.033203125,8141.39501953125,2266.03442382812,288.603210449218,0.00507728103548288,0.310299694538116,0.303603529930114,0.365939855575561,0.197435110807418,1.034233212471,1.01174855232238,174.37239074707,5.20941612194292e-05,30753.423828125,248.791717529296,193.547042846679,44.6942176818847,10.5504570007324,1356.95178222656,1531.32409667968,1356.95178222656,1531.32409667968,269.272644042968,265.108947753906,283.9638671875,261.081939697265,0.0299999825656414,0.0299999993294477,0.0299999918788671,,0.0852731764316558,0.0843628942966461,189.325073242187,193.427978515625,1.13095998764038,208.402450561523,,,,,,0.015804661437869,0.000101830635685473,0.0159064922481775,174.37239074707,136.448150634765,23.7999992370605,14.1242361068725,2,1,5.86938949709292e-05,,1.27899174913181e-05,0.0169117581099271,0.0158932153135538,,,14.0723896026611,,14.0774679183959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.42678380012512,1.41846573352813,1.87790846824646,0.746975481510162,,,,13634.052734375,5952.8935546875,11166.4775390625,11.910059928894,,,,,,,,,76.1160202026367,21.1857471466064,2.69822669029235,,,0.728143215179443,0.724188923835754,0.958310484886169,0.379776716232299,0.225942641496658,0.219866320490837,0.350683987140655,0.0749812647700309,1493.39990234375,1517.19995117187,14.0723896026611,1505.29992675781,0.0169117581099271,0.0158932153135538,15962.8291015625,7688.15087890625,2119.72583007812,6154.9521484375,0,,,,,,,,,,56553.83203125,,,14.0723896026611,,,,,,,,,,,,,,,0.0,11.999976158142,12.7814826965332,-2.07241415977478,-1.29090726375579,,,,,,,0.0294593442231416,1.42532706260681,1.41758680343627,1.87587535381317,0.743406057357788,1.26651322841644,,,,,,,,,,,,,136.448150634765,23.7999992370605,14.1242361068725,,,,,,,,,,,,,,,,,,,,,,,,,,11.999976158142,,1496.70007324218,,,,,,,,0,2555.19995117187,0,0,,,,,,,0.189700305461884,0.0,47.19586481169421,0.0,0.0,0.0
1,8,56333.0*,14.0554780960083,14.0615739822387,2.05550241470336,11.999976158142,55.4900245666503,18.805585861206,2.90437650680542,77.1999893188476,229.155899047851,171.324417114257,45.2026214599609,12.6288452148437,172.080047607421,131.918960571289,23.9089317321777,16.2521591186523,9457.4814453125,6797.87548828125,2303.8017578125,355.804290771484,0.00609558727592229,0.336888521909713,0.323888599872589,0.416028648614883,0.229979589581489,1.05339956283569,1.01754879951477,171.916732788085,6.66320993332192e-05,30689.26953125,229.155899047851,171.324417114257,45.2026214599609,12.6288452148437,1312.74475097656,1484.66149902343,1312.74475097656,1484.66149902343,269.851867675781,265.108947753906,283.9638671875,261.081939697265,0.0299999844282865,0.0299999993294477,0.0299999918788671,,0.0965643376111984,0.0956348776817321,189.093933105468,193.22622680664,1.13969218730926,181.871627807617,,,,,,0.0204052273184061,0.000136056100018322,0.0205412842333316,171.916732788085,131.846389770507,23.8820037841796,16.1883335113525,2,1,7.56164008635096e-05,,2.79052728728856e-05,0.0218742471188306,0.0205138642340898,,,14.0554780960083,,14.0615739822387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.33294713497161,1.29942452907562,1.89274847507476,0.780120193958282,,,,13585.6875,5940.13037109375,11163.4521484375,11.999976158142,,,,,,,,,71.8782806396484,24.3595695495605,3.7621464729309,,,0.870156288146972,0.848611295223236,1.2353788614273,0.507749319076538,0.293145656585693,0.274855524301528,0.513953030109405,0.116771966218948,1444.59118652343,1468.47314453125,14.0554780960083,1456.53210449218,0.0218742471188306,0.0205138642340898,15916.537109375,7652.58740234375,2112.95581054687,6150.9951171875,0,,,,,,,,,,56269.8671875,,,14.0554780960083,,,,,,,,,,,,,,,0.0,12.0911111831665,12.7098560333251,-1.96436738967895,-1.34562253952026,,,,,,,0.0293284691870212,1.33168196678161,1.29870975017547,1.89061665534973,0.777056515216827,1.21041321754455,,,,,,,,,,,,,131.846389770507,23.8820037841796,16.1883335113525,,,,,,,,,,,,,,,,,,,,,,,,,,11.999976158142,,1449.83618164062,,,,,,,,0,2548.59106445312,0,0,,,,,,,0.16311147809028698,0.0,37.37795740680356,0.0,0.0,0.0
1,9,56049.0*,14.0336036682128,14.0410604476928,2.03362822532653,11.999976158142,51.6377601623535,21.5175666809082,4.04466581344604,77.1999893188476,209.964935302734,149.518417358398,45.3724021911621,15.0741167068481,169.938293457031,127.217918395996,23.9912223815917,18.7291622161865,8298.27734375,5550.57666015625,2312.93725585937,434.763763427734,0.00745614804327487,0.367680430412292,0.345360547304153,0.474243521690368,0.268318623304367,1.0817414522171,1.02601897716522,169.789978027343,8.65483161760494e-05,30630.265625,209.964935302734,149.518417358398,45.3724021911621,15.0741167068481,1268.62536621093,1438.41540527343,1268.62536621093,1438.41540527343,270.486145019531,265.108947753906,283.9638671875,261.081939697265,0.0299999881535768,0.0299999993294477,0.0299999918788671,,0.110056862235069,0.109813280403614,188.881149291992,193.049026489257,1.15197908878326,157.837951660156,,,,,,0.0268334634602069,0.000189407728612422,0.0270228721201419,169.789978027343,127.156517028808,23.96311378479,18.6703395843505,2,1,9.92045752354897e-05,,5.58105457457713e-05,0.028861029073596,0.0269669592380523,,,14.0336036682128,,14.0410604476928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.23661565780639,1.17586123943328,1.89342677593231,0.807383120059967,,,,13543.1591796875,5927.27001953125,11159.8359375,11.999976158142,,,,,,,,,66.8882980346679,27.8724975585937,5.23920488357543,,,1.0486421585083,0.997512221336364,1.60513377189636,0.683101654052734,0.385565191507339,0.344501346349716,0.761224269866943,0.183288887143135,1395.78186035156,1419.74499511718,14.0336036682128,1407.76342773437,0.028861029073596,0.0269669592380523,15870.86328125,7618.2548828125,2106.16259765625,6146.44482421875,0,,,,,,,,,,55985.90234375,,,14.0336036682128,,,,,,,,,,,,,,,0.0,12.1819410324096,12.6391410827636,-1.85166263580322,-1.39446258544921,,,,,,,0.0291337259113788,1.23553621768951,1.17529368400573,1.89120841026306,0.804847300052642,1.15142858028411,,,,,,,,,,,,,127.156517028808,23.96311378479,18.6703395843505,,,,,,,,,,,,,,,,,,,,,,,,,,11.999976158142,,1402.97314453125,,,,,,,,0,2541.98193359375,0,0,,,,,,,0.13231956958770802,0.0,27.782469867768725,0.0,0.0,0.0
1,10,55765.0*,14.0047426223754,14.0140933990478,2.00476717948913,11.999976158142,47.1236953735351,24.5578498840332,5.51843929290771,77.1999893188476,191.232177734375,128.008926391601,45.1816177368164,18.0416240692138,169.214584350585,122.368919372558,24.0740165710449,22.7716388702392,7203.49658203125,4397.09130859375,2291.48217773437,514.923095703125,0.0093502253293991,0.403697699308395,0.368128210306167,0.543536305427551,0.305872648954391,1.1252771615982,1.03908574581146,169.083267211914,0.000114854425191879,30576.294921875,191.232177734375,128.008926391601,45.1816177368164,18.0416240692138,1224.65551757812,1393.73876953125,1224.65551757812,1393.73876953125,271.169006347656,265.108947753906,283.9638671875,261.081939697265,0.0299999881535768,0.0299999993294477,0.0299999881535768,,0.126618474721908,0.128586634993553,188.686340332031,192.89402770996,1.16621696949005,136.230026245117,,,,,,0.0361079312860965,0.000270583288511261,0.0363785102963447,169.083267211914,122.317596435546,24.0446720123291,22.7209949493408,3,1,0.000133156558149494,,0.0,0.0390836596488952,0.0363780111074447,,,14.0047426223754,,14.0140933990478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1.13099408149719,1.04652917385101,1.87906992435455,0.794050812721252,,,,13506.37109375,5914.4130859375,11155.5126953125,11.999976158142,,,,,,,,,61.0410614013671,31.810691833496,7.14823818206787,,,1.27287018299102,1.17823004722595,2.11385011672973,0.892364561557769,0.513854801654815,0.433739721775054,1.1489542722702,0.272949904203414,1346.97314453125,1371.01782226562,14.0047426223754,1358.99548339843,0.0390836596488952,0.0363780111074447,15825.57421875,7585.18603515625,2099.34619140625,6141.04150390625,0,,,,,,,,,,55701.9375,,,14.0047426223754,,,,,,,,,,,,,,,0.0,12.2730770111083,12.5681238174438,-1.73166644573211,-1.43661928176879,,,,,,,0.0288027040660381,1.13011646270751,1.04609012603759,1.87677955627441,0.792284846305847,1.08496439456939,,,,,,,,,,,,,122.317596435546,24.0446720123291,22.7209949493408,,,,,,,,,,,,,,,,,,,,,,,,,,11.999976158142,,1356.10913085937,,,,,,,,0,2535.373046875,0,0,,,,,,,0.096302300691605,0.0,18.416098682086233,0.0,0.0,0.0
