Profile,Flow Area,Vel Total,Max Chl Dpth,Fish2_Velocity_SI,Fish2_Depth_SI,Fish2_HSI,Fish2_Velocity_SI_Area,Fish2_Depth_SI_Area,Fish2_WUA_Area
1,529.657775878906,0.145754471421241,3.17184472084045,0.728772357106205,0.0,0.0,385.9999457869004,0.0,0.0
1,349.033630371093,0.221182107925415,2.99949717521667,0.83054313659668,0.0,0.0,289.8874861461338,0.0,0.0
1,226.25862121582,0.341202437877655,2.81991744041442,0.15879756212234503,0.0,0.0,35.92931745823531,0.0,0.0
1,184.99494934082,0.417308658361434,2.63048958778381,0.08269134163856601,0.0,0.0,15.297480557350958,0.0,0.0
1,188.900238037109,0.408681273460388,2.4381046295166,0.09131872653961198,0.0,0.0,17.250129180578366,0.0,0.0
1,214.298309326171,0.360245466232299,2.25254273414611,0.13975453376770097,0.0,0.0,29.94916030708559,0.0,0.0
1,248.791717529296,0.310299694538116,2.16232967376709,0.189700305461884,0.0,0.0,47.19586481169421,0.0,0.0
1,229.155899047851,0.336888521909713,2.05550241470336,0.16311147809028698,0.0,0.0,37.37795740680356,0.0,0.0
1,209.964935302734,0.367680430412292,2.03362822532653,0.13231956958770802,0.0,0.0,27.782469867768725,0.0,0.0
1,191.232177734375,0.403697699308395,2.00476717948913,0.096302300691605,0.0,0.0,18.416098682086233,0.0,0.0
1,172.812774658203,0.446726202964782,1.96568357944488,0.05327379703521801,0.0,0.0,9.206392682233973,0.0,0.0
1,154.306228637695,0.500303745269775,1.91118216514587,0.0,0.0,0.0,0.0,0.0,0.0
1,134.886505126953,0.572332978248596,1.83159291744232,0.0,0.0,0.0,0.0,0.0,0.0
1,111.776344299316,0.690664887428283,1.70496344566345,0.0,0.2534308115641336,0.0,0.0,28.32756964944767,0.0
1,111.671798706054,0.296404182910919,1.65658378601074,0.22876653671264768,0.3824432373046935,0.087490214887368,25.546770638455907,42.70812421278138,9.770189665651568
1,135.819412231445,0.243705868721008,1.63936972618103,0.6503530502319361,0.4283473968505866,0.2785770361006886,88.33056902542899,58.177891671116186,37.83616930437356
1,192.114868164062,0.172292694449424,1.62911570072174,0.8614634722471199,0.4556914647420266,0.3925615514900423,165.49994139891052,87.54510567240274,75.41691071078911
1,287.13931274414,0.115275017917156,1.62509846687316,0.57637508958578,0.4664040883382399,0.26882369819912705,165.499947106503,133.92294938649937,77.18985195023545
1,270.764739990234,0.12224631011486,1.74400174617767,0.6112315505743,0.14932867685954676,0.09127439870206935,165.4999518650779,40.43294036296085,24.71388883233076
1,262.231475830078,0.0793192237615585,1.86396765708923,0.39659611880779255,0.0,0.0,103.9999855434484,0.0,0.0
1,261.814819335937,0.0794454514980316,1.9847172498703,0.397227257490158,0.0,0.0,103.99998265509545,0.0,0.0
1,266.066955566406,0.0781757980585098,2.10515522956848,0.390878990292549,0.0,0.0,103.9999829420093,0.0,0.0
1,276.050506591796,0.0753485262393951,2.22572350502014,0.3767426311969755,0.0,0.0,103.99999419665126,0.0,0.0
1,289.998352050781,0.0717245414853096,2.34654974937438,0.358622707426548,0.0,0.0,103.9999941616883,0.0,0.0
1,310.428985595703,0.0670040398836135,2.46799945831298,0.3350201994180675,0.0,0.0,103.99998065942083,0.0,0.0
1,334.947479248046,0.0620992816984653,2.58936405181884,0.3104964084923265,0.0,0.0,103.99998934007635,0.0,0.0
1,371.35757446289,0.0560107044875621,2.79104137420654,0.2800535224378105,0.0,0.0,103.99999681229386,0.0,0.0
1,441.842132568359,0.0470756329596042,3.03278589248657,0.235378164798021,0.0,0.0,103.99999029438425,0.0,0.0
1,358.863006591796,0.0579608306288719,2.76326155662536,0.2898041531443595,0.0,0.0,103.99998972017414,0.0,0.0
1,333.616607666015,0.0623470097780227,2.49395942687988,0.3117350488901135,0.0,0.0,103.99998950131899,0.0,0.0
1,320.309753417968,0.0649371370673179,2.27822732925415,0.3246856853365895,0.0,0.0,103.99999180850693,0.0,0.0
1,311.635009765625,0.0667447447776794,2.16667008399963,0.333723723888397,0.0,0.0,103.99999595298134,0.0,0.0
1,306.23974609375,0.378788173198699,2.03976273536682,0.12121182680130099,0.0,0.0,37.11987906319002,0.0,0.0
1,304.093597412109,0.381461471319198,1.90660691261291,0.118538528680802,0.0,0.0,36.046807618483534,0.0,0.0
1,306.596099853515,0.378347903490066,2.108238697052,0.12165209650993403,0.0,0.0,37.298058328949175,0.0,0.0
1,315.022521972656,0.36822760105133,2.30903458595275,0.13177239894867,0.0,0.0,41.511273443196984,0.0,0.0
1,403.545959472656,0.287451744079589,2.5149290561676,0.3003860473632879,0.0,0.0,121.21957569541671,0.0,0.0
1,690.414733886718,0.1680149435997,4.51184892654418,0.8400747179985001,0.0,0.0,579.999962871894,0.0,0.0
1,544.645324707031,0.212982639670372,3.50807547569274,0.896138882637024,0.0,0.0,488.0778527164379,0.0,0.0
1,313.857238769531,0.369594752788543,3.07639956474304,0.13040524721145702,0.0,0.0,40.92863081084599,0.0,0.0
1,488.402801513671,0.237508848309516,2.49877429008483,0.6999292135238722,0.0,0.0,341.8473887463196,0.0,0.0
1,1010.61840820312,0.114781193435192,3.4861581325531,0.57390596717596,0.0,0.0,579.9999350056407,0.0,0.0
1,1358.77648925781,0.0853709131479263,4.48513460159301,0.42685456573963154,0.0,0.0,579.9999482593636,0.0,0.0
1,308.761596679687,0.37569436430931,1.47625875473022,0.12430563569068998,0.8158274968465201,0.10141195560945106,38.380806552140925,251.89620054152385,31.312117336383647
1,458.834197998046,0.252814620733261,3.10227108001709,0.577483034133912,0.0,0.0,264.96896482431174,0.0,0.0
1,346.828979492187,0.334458768367767,3.45005798339843,0.165541231632233,0.0,0.0,57.41449643088711,0.0,0.0
1,712.507141113281,0.162805363535881,3.24844121932983,0.814026817679405,0.0,0.0,579.9999206542949,0.0,0.0
1,845.211730957031,0.137243703007698,3.44615483283996,0.6862185150384901,0.0,0.0,579.9999389104456,0.0,0.0
1,681.278564453125,0.170268073678016,3.44403862953186,0.85134036839008,0.0,0.0,579.9999440377883,0.0,0.0
1,468.951904296875,0.247360110282897,2.43752217292785,0.6211191177368239,0.0,0.0,291.2749930578785,0.0,0.0
1,296.056701660156,0.391816824674606,2.40006971359252,0.10818317532539401,0.0,0.0,32.028354061958524,0.0,0.0
1,624.679748535156,0.185695141553878,2.38921236991882,0.92847570776939,0.0,0.0,579.9999716503836,0.0,0.0
1,562.555419921875,0.206201881170272,3.37764048576355,0.9503849506378241,0.0,0.0,534.6442049934916,0.0,0.0
1,1061.25451660156,0.109304592013359,3.39730072021484,0.546522960066795,0.0,0.0,579.9999597973402,0.0,0.0
1,70.7724151611328,1.63905656337738,1.03931105136871,0.0,0.35724420547484026,0.0,0.0,25.283035223774426,0.0
1,645.769592285156,0.179630622267723,2.4918258190155,0.898153111338615,0.0,0.0,579.9999685187818,0.0,0.0
1,367.294403076171,0.0811338126659393,2.48831439018249,0.40566906332969654,0.0,0.0,148.9999764621503,0.0,0.0
1,129.410278320312,0.230275347828865,1.48174214363098,0.7577972173690801,0.8121719042460135,0.615461609062976,98.06674881009062,105.10339217241439,79.64705812430677
1,293.166778564453,0.101648621261119,2.4804196357727,0.508243106305595,0.0,0.0,148.9999942032021,0.0,0.0
1,301.429107666015,0.0988623723387718,2.4795708656311,0.49431186169385904,0.0,0.0,148.99998337910657,0.0,0.0
1,282.782012939453,0.10538151115179,2.47872900962829,0.52690755575895,0.0,0.0,148.99997925052295,0.0,0.0
1,229.545104980468,0.129821971058845,2.47722554206848,0.6491098552942249,0.0,0.0,148.99998987736927,0.0,0.0
1,235.192581176757,0.126704663038253,2.47513389587402,0.633523315191265,0.0,0.0,148.9999837354898,0.0,0.0
1,28.6161231994628,1.04137086868286,0.404421836137771,0.0,0.6,0.0,0.0,17.169673919677678,0.0
1,127.134849548339,0.234396755695343,1.40062618255615,0.7248259544372562,0.8662492116292334,0.6278799115996798,92.15063866611179,110.13046319184987,79.8254180956497
1,219.416198730468,0.135814934968948,1.39472305774688,0.67907467484474,0.8701846281687466,0.5909203434285827,148.99998380856144,190.93260330647212,129.6574955076023
1,135.064880371093,0.220634683966636,1.37708103656768,0.8349225282669122,0.8819459756215466,0.7363565637607702,112.76871139950102,119.1199276910911,99.45591119481755
1,96.4302139282226,0.309031754732131,1.33817648887634,0.19096824526786899,0.9078823407491066,0.1733766975225424,18.41510874467789,87.54728834009182,16.718752032267503
1,277.186492919921,0.107508838176727,2.3367643356323198,0.537544190883635,0.0,0.0,148.99998906051138,0.0,0.0
1,128.16470336914,0.232513293623924,1.3305606842041,0.739893651008608,0.9129595438639333,0.6754929701326391,94.82825030622824,117.00918912734637,86.57435614498904
1,23.3473186492919,1.27637779712677,0.199258774518966,0.0,0.448888161778449,0.0,0.0,10.48033495093634,0.0
1,348.680267333984,0.0854651182889938,3.20381021499633,0.42732559144496896,0.0,0.0,149.00000146368458,0.0,0.0
1,104.995506286621,0.283821642398834,1.19858849048614,0.3294268608093279,0.9943539619445598,0.32756690421671425,34.58834003508761,104.40269766247653,34.393052950975
1,205.875198364257,0.144747868180274,2.97325801849365,0.7237393409013699,0.0,0.0,148.99998037208616,0.0,0.0
1,437.90542602539,0.0680512189865112,5.03351211547851,0.34025609493255604,0.0,0.0,148.9999902091765,0.0,0.0
1,325.960815429687,0.0914220213890075,2.19324517250061,0.4571101069450375,0.0,0.0,148.99998320095585,0.0,0.0
1,445.450653076171,0.0668985396623611,3.19290041923522,0.3344926983118055,0.0,0.0,148.9999909122044,0.0,0.0
1,359.676879882812,0.0828521400690078,3.81258010864257,0.41426070034503903,0.0,0.0,148.99999615817217,0.0,0.0
1,905.397033691406,0.0329137332737445,3.78243899345397,0.1645686663687225,0.0,0.0,148.999982368792,0.0,0.0
1,946.32470703125,0.0314902439713478,3.1922378540039,0.15745121985673902,0.0,0.0,148.99997950264148,0.0,0.0
